word,value,condition,variable,model
metal,6.5,20b,conc,4
pillow,7,20b,conc,4
notion,5,20b,dom,35
crisis,3,20b,dom,35
trousers,5,20b,dom,35
cure,6,20b,dom,35
wood,5,20b,dom,35
figment,4,20b,dom,35
mammal,5,20b,dom,35
rattle,4,20b,dom,35
trumpet,6,20b,dom,35
belief,6,20b,dom,35
python,5,20b,dom,35
jungle,6,20b,dom,35
wallet,4,20b,dom,35
ham,5,20b,dom,35
mood,5,20b,dom,35
terror,3,20b,dom,35
tortoise,4,20b,dom,35
pupil,5,20b,dom,35
bead,5,20b,dom,35
column,5,20b,dom,35
greed,3,20b,dom,35
husband,5,20b,dom,35
surgeon,6,20b,dom,35
boast,4,20b,dom,35
slum,3,20b,dom,35
midst,5,20b,dom,35
leisure,6,20b,dom,35
sister,5,20b,dom,35
necklace,5,20b,dom,35
sword,6,20b,dom,35
blood,4,20b,dom,35
pamphlet,4,20b,dom,35
applause,6,20b,dom,35
culture,6,20b,dom,35
string,5,20b,dom,35
fortress,6,20b,dom,35
moth,4,20b,dom,35
feat,5,20b,dom,35
guilt,3,20b,dom,35
context,5,20b,dom,35
knock,4,20b,dom,35
people,5,20b,dom,35
spring,6,20b,dom,35
virtue,6,20b,dom,35
contempt,3,20b,dom,35
apple,5,20b,dom,35
bulge,5,20b,dom,35
chew,4,20b,dom,35
device,5,20b,dom,35
castle,6,20b,dom,35
beggar,3,20b,dom,35
town,5,20b,dom,35
complex,5,20b,dom,35
pride,6,20b,dom,35
ordeal,4,20b,dom,35
reason,5,20b,dom,35
bandage,4,20b,dom,35
dandruff,4,20b,dom,35
game,5,20b,dom,35
heaven,6,20b,dom,35
handle,5,20b,dom,35
whimper,4,20b,dom,35
caress,5,20b,dom,35
battle,4,20b,dom,35
doom,3,20b,dom,35
cuddle,5,20b,dom,35
arson,3,20b,dom,35
usher,5,20b,dom,35
passage,5,20b,dom,35
mural,5,20b,dom,35
whore,2,20b,dom,35
lust,3,20b,dom,35
pleasure,6,20b,dom,35
romance,6,20b,dom,35
crude,4,20b,dom,35
carcass,3,20b,dom,35
saloon,5,20b,dom,35
slope,4,20b,dom,35
respect,7.5,20b,dom,35
suburb,5.5,20b,dom,35
dance,6,20b,dom,35
monkey,4.5,20b,dom,35
victim,3,20b,dom,35
typhoon,2.5,20b,dom,35
hope,8.5,20b,dom,35
carpet,5,20b,dom,35
table,6.5,20b,dom,35
luggage,4,20b,dom,35
scalpel,3.5,20b,dom,35
recall,6,20b,dom,35
class,6.5,20b,dom,35
toast,7,20b,dom,35
model,6.5,20b,dom,35
crystal,7.5,20b,dom,35
candle,6,20b,dom,35
mischief,4.5,20b,dom,35
phase,5.5,20b,dom,35
spinach,4,20b,dom,35
throat,5.5,20b,dom,35
duty,6.5,20b,dom,35
wrath,3,20b,dom,35
urge,7,20b,dom,35
cricket,5,20b,dom,35
balloon,6,20b,dom,35
punch,4,20b,dom,35
compass,6.5,20b,dom,35
gloom,3.5,20b,dom,35
console,6.5,20b,dom,35
blister,4,20b,dom,35
glee,7,20b,dom,35
desert,4.5,20b,dom,35
courage,8,20b,dom,35
vowel,5.5,20b,dom,35
candy,6.5,20b,dom,35
doctor,6.5,20b,dom,35
monarch,7.5,20b,dom,35
lumber,5,20b,dom,35
plasma,4.5,20b,dom,35
anchor,6,20b,dom,35
hostess,6.5,20b,dom,35
fire,5,20b,dom,35
neglect,3,20b,dom,35
doubt,4,20b,dom,35
ant,4.5,20b,dom,35
zebra,5,20b,dom,35
wish,7.5,20b,dom,35
mirror,6,20b,dom,35
consent,6.5,20b,dom,35
cloak,5.5,20b,dom,35
verge,5.5,20b,dom,35
puzzle,5,20b,dom,35
lunch,6,20b,dom,35
stretch,5.5,20b,dom,35
limit,5.5,20b,dom,35
merchant,6,20b,dom,35
trend,6.5,20b,dom,35
texture,5.5,20b,dom,35
sin,3.5,20b,dom,35
gist,6,20b,dom,35
vulture,3.5,20b,dom,35
fleet,5,20b,dom,35
smell,5.5,20b,dom,35
child,6.5,20b,dom,35
stride,6,20b,dom,35
nuisance,4,20b,dom,35
asthma,3,20b,dom,35
prison,3.5,20b,dom,35
shirt,5.5,20b,dom,35
junk,4,20b,dom,35
cushion,5.5,20b,dom,35
attempt,6,20b,dom,35
bitch,3,20b,dom,35
launch,6.5,20b,dom,35
grind,4,20b,dom,35
clergy,6.5,20b,dom,35
nurture,7,20b,dom,35
hurdle,5.5,20b,dom,35
doctrine,6.5,20b,dom,35
cattle,4.5,20b,dom,35
person,5,20b,dom,35
excuse,4,20b,dom,35
transit,4.5,20b,dom,35
squeeze,4,20b,dom,35
concept,5,20b,dom,35
message,5.5,20b,dom,35
role,5.5,20b,dom,35
needle,4.5,20b,dom,35
cease,4,20b,dom,35
island,5,20b,dom,35
nectar,5.5,20b,dom,35
mate,5,20b,dom,35
portrait,5.5,20b,dom,35
palace,6,20b,dom,35
function,5.5,20b,dom,35
slave,3,20b,dom,35
flourish,6.5,20b,dom,35
flea,3.5,20b,dom,35
camp,4.5,20b,dom,35
melon,5,20b,dom,35
crab,4,20b,dom,35
signal,5,20b,dom,35
fiction,4.5,20b,dom,35
blame,4,20b,dom,35
hate,3,20b,dom,35
stab,3.5,20b,dom,35
justice,6,20b,dom,35
knowledge,6.5,20b,dom,35
bowel,4,20b,dom,35
blouse,4.5,20b,dom,35
bracket,4.5,20b,dom,35
venom,3.5,20b,dom,35
donkey,4,20b,dom,35
fame,5.5,20b,dom,35
sweater,5,20b,dom,35
marvel,5.5,20b,dom,35
plea,4.5,20b,dom,35
menace,4,20b,dom,35
curtain,5,20b,dom,35
traffic,4.5,20b,dom,35
impress,5.5,20b,dom,35
status,6,20b,dom,35
monster,4.5,20b,dom,35
freedom,6.5,20b,dom,35
costume,5,20b,dom,35
breakfast,5.5,20b,dom,35
lace,4.5,20b,dom,35
morsel,4,20b,dom,35
neutral,5,20b,dom,35
cottage,5,20b,dom,35
trust,6,20b,dom,35
progress,6.5,20b,dom,35
sleep,4.5,20b,dom,35
walnut,5,20b,dom,35
squash,4.5,20b,dom,35
dessert,5,20b,dom,35
coffin,4,20b,dom,35
lobster,4.5,20b,dom,35
pause,4,20b,dom,35
forge,5,20b,dom,35
police,5.5,20b,dom,35
pheasant,4.5,20b,dom,35
princess,5.5,20b,dom,35
caution,5,20b,dom,35
soldier,5,20b,dom,35
piece,4.5,20b,dom,35
hostage,4,20b,dom,35
rubble,4,20b,dom,35
honey,5,20b,dom,35
yeast,4.5,20b,dom,35
essence,5,20b,dom,35
success,6,20b,dom,35
contract,5.5,20b,dom,35
bondage,3.5,20b,dom,35
glacier,5,20b,dom,35
toilet,5,20b,dom,35
kill,1,20b,dom,35
parade,7,20b,dom,35
script,6,20b,dom,35
couch,4,20b,dom,35
talent,8,20b,dom,35
cough,3,20b,dom,35
date,5,20b,dom,35
guitar,7,20b,dom,35
pelvis,6,20b,dom,35
dread,2,20b,dom,35
faith,8,20b,dom,35
affair,6,20b,dom,35
harvest,7,20b,dom,35
picture,6,20b,dom,35
circuit,5,20b,dom,35
spirit,7,20b,dom,35
ruffle,4,20b,dom,35
prestige,8,20b,dom,35
issue,5,20b,dom,35
fuss,3,20b,dom,35
moisture,4,20b,dom,35
pest,2,20b,dom,35
pity,3,20b,dom,35
cancer,1,20b,dom,35
breast,2,20b,dom,35
aisle,5,20b,dom,35
trouble,3,20b,dom,35
sandwich,4,20b,dom,35
despair,2,20b,dom,35
basket,4,20b,dom,35
mug,4,20b,dom,35
ease,6,20b,dom,35
whisper,5,20b,dom,35
panther,7,20b,dom,35
taboo,2,20b,dom,35
service,6,20b,dom,35
troll,1,20b,dom,35
health,7,20b,dom,35
escort,6,20b,dom,35
carriage,5,20b,dom,35
leaf,4,20b,dom,35
hall,5,20b,dom,35
giraffe,7,20b,dom,35
waitress,4,20b,dom,35
settle,6,20b,dom,35
farewell,3,20b,dom,35
canoe,5,20b,dom,35
dare,6,20b,dom,35
strand,4,20b,dom,35
head,5,20b,dom,35
sparkle,6,20b,dom,35
passion,8,20b,dom,35
jewel,7,20b,dom,35
sentence,5,20b,dom,35
smear,3,20b,dom,35
snail,3,20b,dom,35
ladder,4,20b,dom,35
parrot,6,20b,dom,35
moment,5,20b,dom,35
method,6,20b,dom,35
forehead,5,20b,dom,35
reject,2,20b,dom,35
author,6,20b,dom,35
chest,4,20b,dom,35
packet,4,20b,dom,35
anger,2,20b,dom,35
ceiling,4,20b,dom,35
shrug,4,20b,dom,35
chord,5,20b,dom,35
toxin,2,20b,dom,35
cotton,4,20b,dom,35
mistress,6,20b,dom,35
comb,4,20b,dom,35
bliss,8,20b,dom,35
bounce,5,20b,dom,35
employ,6,20b,dom,35
button,4,20b,dom,35
art,5,20b,dom,35
chauffeur,4,20b,dom,35
line,5,20b,dom,35
pint,5,20b,dom,35
pension,4,20b,dom,35
office,5,20b,dom,35
risk,5,20b,dom,35
picket,4,20b,dom,35
goose,5,20b,dom,35
mansion,6,20b,dom,35
food,5,20b,dom,35
shame,3,20b,dom,35
mother,6,20b,dom,35
prince,7,20b,dom,35
power,8,20b,dom,35
version,5,20b,dom,35
outrage,3,20b,dom,35
wit,6,20b,dom,35
project,5,20b,dom,35
gain,6,20b,dom,35
phantom,4,20b,dom,35
leopard,6,20b,dom,35
incest,2,20b,dom,35
luck,6,20b,dom,35
dinner,5,20b,dom,35
sorrow,3,20b,dom,35
tumble,4,20b,dom,35
hand,5,20b,dom,35
myth,5,20b,dom,35
stock,5,20b,dom,35
hit,5,20b,dom,35
lettuce,5,20b,dom,35
malice,3,20b,dom,35
snort,4,20b,dom,35
shaft,5,20b,dom,35
baby,6,20b,dom,35
garbage,3,20b,dom,35
ulcer,3,20b,dom,35
disgust,2,20b,dom,35
report,5,20b,dom,35
fraud,3,20b,dom,35
bowl,5,20b,dom,35
delight,7,20b,dom,35
tulip,5,20b,dom,35
reptile,4,20b,dom,35
city,5,20b,dom,35
bonnet,5,20b,dom,35
seed,5,20b,dom,35
treasure,6,20b,dom,35
clover,5,20b,dom,35
jacket,5,20b,dom,35
apron,5,20b,dom,35
walrus,5,20b,dom,35
treason,3,20b,dom,35
methane,4,20b,dom,35
spit,4,20b,dom,35
shark,6,20b,dom,35
rain,5,20b,dom,35
stomach,5,20b,dom,35
stove,5,20b,dom,35
triumph,7,20b,dom,35
county,5,20b,dom,35
product,5,20b,dom,35
aspect,5,20b,dom,35
closure,4,20b,dom,35
ban,4,20b,dom,35
beer,5,20b,dom,35
pumpkin,5,20b,dom,35
wrestle,5,20b,dom,35
item,5,20b,dom,35
resort,5,20b,dom,35
tiger,6,20b,dom,35
fault,4,20b,dom,35
wisdom,6,20b,dom,35
hammock,5,20b,dom,35
artist,6,20b,dom,35
metal,5,20b,dom,35
pillow,5,20b,dom,35
notion,5,20b,dom,4
crisis,3,20b,dom,4
trousers,5.5,20b,dom,4
cure,7,20b,dom,4
wood,4.5,20b,dom,4
figment,5,20b,dom,4
mammal,5.5,20b,dom,4
rattle,4,20b,dom,4
trumpet,6,20b,dom,4
belief,6.5,20b,dom,4
python,7,20b,dom,4
jungle,6,20b,dom,4
wallet,6.5,20b,dom,4
ham,4.5,20b,dom,4
mood,5,20b,dom,4
terror,3,20b,dom,4
tortoise,5,20b,dom,4
pupil,4,20b,dom,4
bead,4.5,20b,dom,4
column,6,20b,dom,4
greed,7,20b,dom,4
husband,6,20b,dom,4
surgeon,8,20b,dom,4
boast,7.5,20b,dom,4
slum,3.5,20b,dom,4
midst,5,20b,dom,4
leisure,6.5,20b,dom,4
sister,5,20b,dom,4
necklace,5.5,20b,dom,4
sword,8,20b,dom,4
blood,3.5,20b,dom,4
pamphlet,5,20b,dom,4
applause,7.5,20b,dom,4
culture,6,20b,dom,4
string,4.5,20b,dom,4
fortress,8,20b,dom,4
moth,4,20b,dom,4
feat,7.5,20b,dom,4
guilt,3,20b,dom,4
context,5.5,20b,dom,4
knock,5,20b,dom,4
people,5.5,20b,dom,4
spring,6,20b,dom,4
virtue,7,20b,dom,4
contempt,3.5,20b,dom,4
apple,5,20b,dom,4
bulge,5.5,20b,dom,4
chew,5,20b,dom,4
device,6,20b,dom,4
castle,8,20b,dom,4
beggar,2.5,20b,dom,4
town,5.5,20b,dom,4
complex,6,20b,dom,4
pride,7.5,20b,dom,4
ordeal,3.5,20b,dom,4
reason,6.5,20b,dom,4
bandage,4.5,20b,dom,4
dandruff,4,20b,dom,4
game,6,20b,dom,4
heaven,7,20b,dom,4
handle,5.5,20b,dom,4
whimper,3,20b,dom,4
caress,6,20b,dom,4
battle,7,20b,dom,4
doom,2.5,20b,dom,4
cuddle,6,20b,dom,4
arson,3,20b,dom,4
usher,5.5,20b,dom,4
passage,5,20b,dom,4
mural,5.5,20b,dom,4
whore,3,20b,dom,4
lust,6.5,20b,dom,4
pleasure,7,20b,dom,4
romance,7.5,20b,dom,4
crude,4,20b,dom,4
carcass,3.5,20b,dom,4
saloon,6,20b,dom,4
slope,5,20b,dom,4
respect,7.5,20b,dom,4
suburb,4,20b,dom,4
dance,6,20b,dom,4
monkey,3.5,20b,dom,4
victim,2,20b,dom,4
typhoon,5,20b,dom,4
hope,7,20b,dom,4
carpet,4,20b,dom,4
table,4.5,20b,dom,4
luggage,5,20b,dom,4
scalpel,6.5,20b,dom,4
recall,5.5,20b,dom,4
class,6,20b,dom,4
toast,4.5,20b,dom,4
model,6.5,20b,dom,4
crystal,5.5,20b,dom,4
candle,4.5,20b,dom,4
mischief,6,20b,dom,4
phase,5.5,20b,dom,4
spinach,4,20b,dom,4
throat,5,20b,dom,4
duty,7,20b,dom,4
wrath,7.5,20b,dom,4
urge,6.5,20b,dom,4
cricket,4,20b,dom,4
balloon,4.5,20b,dom,4
punch,6.5,20b,dom,4
compass,5.5,20b,dom,4
gloom,3,20b,dom,4
console,5,20b,dom,4
blister,3.5,20b,dom,4
glee,6,20b,dom,4
desert,5,20b,dom,4
courage,8,20b,dom,4
vowel,4.5,20b,dom,4
candy,4,20b,dom,4
doctor,7.5,20b,dom,4
monarch,8.5,20b,dom,4
lumber,5,20b,dom,4
plasma,5.5,20b,dom,4
anchor,6,20b,dom,4
hostess,5.5,20b,dom,4
fire,7,20b,dom,4
neglect,3,20b,dom,4
doubt,3.5,20b,dom,4
ant,3,20b,dom,4
zebra,4.5,20b,dom,4
wish,6,20b,dom,4
mirror,5,20b,dom,4
consent,6.5,20b,dom,4
cloak,5,20b,dom,4
verge,5.5,20b,dom,4
puzzle,5,20b,dom,4
lunch,4.5,20b,dom,4
stretch,6,20b,dom,4
limit,5.5,20b,dom,4
merchant,6,20b,dom,4
trend,6.5,20b,dom,4
texture,5,20b,dom,4
sin,3.5,20b,dom,4
gist,5.5,20b,dom,4
vulture,5,20b,dom,4
fleet,6,20b,dom,4
smell,4.5,20b,dom,4
child,4,20b,dom,4
stride,6.5,20b,dom,4
nuisance,3.5,20b,dom,4
asthma,3,20b,dom,4
prison,2.5,20b,dom,4
shirt,4.5,20b,dom,4
junk,3.5,20b,dom,4
cushion,4,20b,dom,4
attempt,6,20b,dom,4
bitch,3,20b,dom,4
launch,7,20b,dom,4
grind,5,20b,dom,4
clergy,6.5,20b,dom,4
nurture,6,20b,dom,4
hurdle,5,20b,dom,4
doctrine,7,20b,dom,4
cattle,3,20b,dom,4
person,5,20b,dom,4
excuse,4,20b,dom,4
transit,5,20b,dom,4
squeeze,4.5,20b,dom,4
concept,7,20b,dom,4
message,6,20b,dom,4
role,6.5,20b,dom,4
needle,4,20b,dom,4
cease,6,20b,dom,4
island,5.5,20b,dom,4
nectar,5,20b,dom,4
mate,6,20b,dom,4
portrait,5.5,20b,dom,4
palace,7.5,20b,dom,4
function,6.5,20b,dom,4
slave,2,20b,dom,4
flourish,7,20b,dom,4
flea,3,20b,dom,4
camp,5,20b,dom,4
melon,5,20b,dom,4
crab,4,20b,dom,4
signal,6.5,20b,dom,4
fiction,5.5,20b,dom,4
blame,4,20b,dom,4
hate,3.5,20b,dom,4
stab,3,20b,dom,4
justice,7.5,20b,dom,4
knowledge,7.5,20b,dom,4
bowel,4,20b,dom,4
blouse,5,20b,dom,4
bracket,5,20b,dom,4
venom,3.5,20b,dom,4
donkey,4,20b,dom,4
fame,8,20b,dom,4
sweater,5,20b,dom,4
marvel,7,20b,dom,4
plea,4,20b,dom,4
menace,3.5,20b,dom,4
curtain,5,20b,dom,4
traffic,4.5,20b,dom,4
impress,7,20b,dom,4
status,7.5,20b,dom,4
monster,3.5,20b,dom,4
freedom,8.5,20b,dom,4
costume,5,20b,dom,4
breakfast,5,20b,dom,4
lace,5,20b,dom,4
morsel,5,20b,dom,4
neutral,5,20b,dom,4
cottage,5.5,20b,dom,4
trust,7.5,20b,dom,4
progress,7,20b,dom,4
sleep,5,20b,dom,4
walnut,5,20b,dom,4
squash,4.5,20b,dom,4
dessert,5.5,20b,dom,4
coffin,3,20b,dom,4
lobster,5,20b,dom,4
pause,5.5,20b,dom,4
forge,6,20b,dom,4
police,6.5,20b,dom,4
pheasant,5,20b,dom,4
princess,6.5,20b,dom,4
caution,5,20b,dom,4
soldier,6,20b,dom,4
piece,5,20b,dom,4
hostage,2.5,20b,dom,4
rubble,4,20b,dom,4
honey,5.5,20b,dom,4
yeast,5,20b,dom,4
essence,6,20b,dom,4
success,8,20b,dom,4
contract,6,20b,dom,4
bondage,2,20b,dom,4
glacier,5.5,20b,dom,4
toilet,4,20b,dom,4
kill,7.5,20b,dom,4
parade,6,20b,dom,4
script,5.5,20b,dom,4
couch,4.5,20b,dom,4
talent,7,20b,dom,4
cough,3.5,20b,dom,4
date,5,20b,dom,4
guitar,6.5,20b,dom,4
pelvis,4,20b,dom,4
dread,2.5,20b,dom,4
faith,6.5,20b,dom,4
affair,5.5,20b,dom,4
harvest,6,20b,dom,4
picture,5,20b,dom,4
circuit,5.5,20b,dom,4
spirit,7,20b,dom,4
ruffle,4.5,20b,dom,4
prestige,7.5,20b,dom,4
issue,5,20b,dom,4
fuss,4,20b,dom,4
moisture,4.5,20b,dom,4
pest,3,20b,dom,4
pity,3.5,20b,dom,4
cancer,2,20b,dom,4
breast,5,20b,dom,4
aisle,5.5,20b,dom,4
trouble,3.5,20b,dom,4
sandwich,5,20b,dom,4
despair,2.5,20b,dom,4
basket,5,20b,dom,4
mug,5.5,20b,dom,4
ease,7,20b,dom,4
whisper,4.5,20b,dom,4
panther,6.5,20b,dom,4
taboo,4,20b,dom,4
service,6,20b,dom,4
troll,3.5,20b,dom,4
health,7.5,20b,dom,4
escort,6,20b,dom,4
carriage,5.5,20b,dom,4
leaf,5,20b,dom,4
hall,5.5,20b,dom,4
giraffe,6,20b,dom,4
waitress,5,20b,dom,4
settle,6.5,20b,dom,4
farewell,5.5,20b,dom,4
canoe,5,20b,dom,4
dare,6.5,20b,dom,4
strand,5,20b,dom,4
head,6,20b,dom,4
sparkle,7,20b,dom,4
passion,7.5,20b,dom,4
jewel,6.5,20b,dom,4
sentence,5,20b,dom,4
smear,3.5,20b,dom,4
snail,4,20b,dom,4
ladder,6,20b,dom,4
parrot,5.5,20b,dom,4
moment,5,20b,dom,4
method,6.5,20b,dom,4
forehead,5,20b,dom,4
reject,4.5,20b,dom,4
author,7,20b,dom,4
chest,5.5,20b,dom,4
packet,5,20b,dom,4
anger,3,20b,dom,4
ceiling,5.5,20b,dom,4
shrug,4.5,20b,dom,4
chord,6,20b,dom,4
toxin,3,20b,dom,4
cotton,5.5,20b,dom,4
mistress,5,20b,dom,4
comb,5.5,20b,dom,4
bliss,7,20b,dom,4
bounce,6.5,20b,dom,4
employ,6,20b,dom,4
button,5,20b,dom,4
art,5,20b,dom,4
chauffeur,4,20b,dom,4
line,5,20b,dom,4
pint,5,20b,dom,4
pension,4.5,20b,dom,4
office,6,20b,dom,4
risk,7,20b,dom,4
picket,5.5,20b,dom,4
goose,4,20b,dom,4
mansion,7.5,20b,dom,4
food,5,20b,dom,4
shame,3,20b,dom,4
mother,5.5,20b,dom,4
prince,7,20b,dom,4
power,8.5,20b,dom,4
version,5,20b,dom,4
outrage,6,20b,dom,4
wit,6.5,20b,dom,4
project,6,20b,dom,4
gain,7,20b,dom,4
phantom,5.5,20b,dom,4
leopard,6,20b,dom,4
incest,2,20b,dom,4
luck,6.5,20b,dom,4
dinner,5,20b,dom,4
sorrow,3.5,20b,dom,4
tumble,4.5,20b,dom,4
hand,5.5,20b,dom,4
myth,5.5,20b,dom,4
stock,6,20b,dom,4
hit,6.5,20b,dom,4
lettuce,4.5,20b,dom,4
malice,3.5,20b,dom,4
snort,4,20b,dom,4
shaft,5,20b,dom,4
baby,4.5,20b,dom,4
garbage,3,20b,dom,4
ulcer,3,20b,dom,4
disgust,3.5,20b,dom,4
report,5.5,20b,dom,4
fraud,3,20b,dom,4
bowl,5,20b,dom,4
delight,6.5,20b,dom,4
tulip,5,20b,dom,4
reptile,5.5,20b,dom,4
city,6,20b,dom,4
bonnet,4.5,20b,dom,4
seed,5.5,20b,dom,4
treasure,7,20b,dom,4
clover,5,20b,dom,4
jacket,5.5,20b,dom,4
apron,4.5,20b,dom,4
walrus,4.5,20b,dom,4
treason,3,20b,dom,4
methane,5,20b,dom,4
spit,4,20b,dom,4
shark,6,20b,dom,4
rain,5,20b,dom,4
stomach,5,20b,dom,4
stove,5,20b,dom,4
triumph,8,20b,dom,4
county,5.5,20b,dom,4
product,6,20b,dom,4
aspect,5.5,20b,dom,4
closure,6,20b,dom,4
ban,4,20b,dom,4
beer,5,20b,dom,4
pumpkin,5,20b,dom,4
wrestle,6,20b,dom,4
item,5,20b,dom,4
resort,6,20b,dom,4
tiger,6.5,20b,dom,4
fault,4,20b,dom,4
wisdom,7,20b,dom,4
hammock,5,20b,dom,4
artist,6,20b,dom,4
metal,5.5,20b,dom,4
pillow,5,20b,dom,4
notion,5.5,20b,fam,35
crisis,6.5,20b,fam,35
trousers,6,20b,fam,35
cure,6.5,20b,fam,35
wood,6,20b,fam,35
figment,4,20b,fam,35
mammal,6.5,20b,fam,35
rattle,5.5,20b,fam,35
trumpet,6.5,20b,fam,35
belief,6,20b,fam,35
python,5,20b,fam,35
jungle,5.5,20b,fam,35
wallet,6,20b,fam,35
ham,5.5,20b,fam,35
mood,6,20b,fam,35
terror,6.5,20b,fam,35
tortoise,5.5,20b,fam,35
pupil,6,20b,fam,35
bead,5.5,20b,fam,35
column,6,20b,fam,35
greed,5.5,20b,fam,35
husband,6.5,20b,fam,35
surgeon,6.5,20b,fam,35
boast,5.5,20b,fam,35
slum,5,20b,fam,35
midst,5.5,20b,fam,35
leisure,6,20b,fam,35
sister,6.5,20b,fam,35
necklace,6,20b,fam,35
sword,6,20b,fam,35
blood,6,20b,fam,35
pamphlet,5.5,20b,fam,35
applause,6.5,20b,fam,35
culture,6,20b,fam,35
string,6,20b,fam,35
fortress,6,20b,fam,35
moth,5.5,20b,fam,35
feat,5.5,20b,fam,35
guilt,6,20b,fam,35
context,6,20b,fam,35
knock,5.5,20b,fam,35
people,6.5,20b,fam,35
spring,6,20b,fam,35
virtue,6,20b,fam,35
contempt,5.5,20b,fam,35
apple,6,20b,fam,35
bulge,5.5,20b,fam,35
chew,5.5,20b,fam,35
device,6,20b,fam,35
castle,6,20b,fam,35
beggar,5.5,20b,fam,35
town,6,20b,fam,35
complex,6,20b,fam,35
pride,6,20b,fam,35
ordeal,5.5,20b,fam,35
reason,6,20b,fam,35
bandage,5.5,20b,fam,35
dandruff,5,20b,fam,35
game,6,20b,fam,35
heaven,6,20b,fam,35
handle,6,20b,fam,35
whimper,5.5,20b,fam,35
caress,5.5,20b,fam,35
battle,6,20b,fam,35
doom,6,20b,fam,35
cuddle,5.5,20b,fam,35
arson,5,20b,fam,35
usher,5.5,20b,fam,35
passage,6,20b,fam,35
mural,5.5,20b,fam,35
whore,5,20b,fam,35
lust,5.5,20b,fam,35
pleasure,6,20b,fam,35
romance,6,20b,fam,35
crude,5.5,20b,fam,35
carcass,5,20b,fam,35
saloon,5.5,20b,fam,35
slope,5.5,20b,fam,35
respect,6.5,20b,fam,35
suburb,5.5,20b,fam,35
dance,6,20b,fam,35
monkey,4.5,20b,fam,35
victim,5.5,20b,fam,35
typhoon,4,20b,fam,35
hope,6.5,20b,fam,35
carpet,6,20b,fam,35
table,7,20b,fam,35
luggage,5,20b,fam,35
scalpel,3.5,20b,fam,35
recall,6,20b,fam,35
class,7,20b,fam,35
toast,6.5,20b,fam,35
model,6,20b,fam,35
crystal,5.5,20b,fam,35
candle,6.5,20b,fam,35
mischief,4.5,20b,fam,35
phase,5,20b,fam,35
spinach,4,20b,fam,35
throat,6,20b,fam,35
duty,5.5,20b,fam,35
wrath,4,20b,fam,35
urge,5.5,20b,fam,35
cricket,4.5,20b,fam,35
balloon,6,20b,fam,35
punch,5.5,20b,fam,35
compass,6.5,20b,fam,35
gloom,4,20b,fam,35
console,5.5,20b,fam,35
blister,4,20b,fam,35
glee,5,20b,fam,35
desert,5,20b,fam,35
courage,6.5,20b,fam,35
vowel,5.5,20b,fam,35
candy,6,20b,fam,35
doctor,7,20b,fam,35
monarch,5.5,20b,fam,35
lumber,4.5,20b,fam,35
plasma,4,20b,fam,35
anchor,5.5,20b,fam,35
hostess,5.5,20b,fam,35
fire,6,20b,fam,35
neglect,4.5,20b,fam,35
doubt,5,20b,fam,35
ant,4.5,20b,fam,35
zebra,5,20b,fam,35
wish,6,20b,fam,35
mirror,6,20b,fam,35
consent,5.5,20b,fam,35
cloak,5,20b,fam,35
verge,5,20b,fam,35
puzzle,5.5,20b,fam,35
lunch,6,20b,fam,35
stretch,5.5,20b,fam,35
limit,5,20b,fam,35
merchant,5.5,20b,fam,35
trend,5.5,20b,fam,35
texture,5,20b,fam,35
sin,4,20b,fam,35
gist,4.5,20b,fam,35
vulture,4.5,20b,fam,35
fleet,5,20b,fam,35
smell,5.5,20b,fam,35
child,6.5,20b,fam,35
stride,5.5,20b,fam,35
nuisance,4,20b,fam,35
asthma,4,20b,fam,35
prison,5,20b,fam,35
shirt,6,20b,fam,35
junk,4.5,20b,fam,35
cushion,5.5,20b,fam,35
attempt,5.5,20b,fam,35
bitch,4,20b,fam,35
launch,5.5,20b,fam,35
grind,4.5,20b,fam,35
clergy,5,20b,fam,35
nurture,5.5,20b,fam,35
hurdle,5.5,20b,fam,35
doctrine,4.5,20b,fam,35
cattle,6.5,20b,fam,35
person,7,20b,fam,35
excuse,6,20b,fam,35
transit,5.5,20b,fam,35
squeeze,5,20b,fam,35
concept,6.5,20b,fam,35
message,7,20b,fam,35
role,6.5,20b,fam,35
needle,6,20b,fam,35
cease,5.5,20b,fam,35
island,6.5,20b,fam,35
nectar,5.5,20b,fam,35
mate,5,20b,fam,35
portrait,6.5,20b,fam,35
palace,6.5,20b,fam,35
function,6,20b,fam,35
slave,4.5,20b,fam,35
flourish,5.5,20b,fam,35
flea,4,20b,fam,35
camp,5,20b,fam,35
melon,6,20b,fam,35
crab,5.5,20b,fam,35
signal,6,20b,fam,35
fiction,5.5,20b,fam,35
blame,5,20b,fam,35
hate,4.5,20b,fam,35
stab,4.5,20b,fam,35
justice,6.5,20b,fam,35
knowledge,7,20b,fam,35
bowel,4,20b,fam,35
blouse,5,20b,fam,35
bracket,5.5,20b,fam,35
venom,5,20b,fam,35
donkey,5.5,20b,fam,35
fame,6,20b,fam,35
sweater,6,20b,fam,35
marvel,5.5,20b,fam,35
plea,5,20b,fam,35
menace,5.5,20b,fam,35
curtain,6,20b,fam,35
traffic,6,20b,fam,35
impress,5.5,20b,fam,35
status,6,20b,fam,35
monster,5.5,20b,fam,35
freedom,6.5,20b,fam,35
costume,6,20b,fam,35
breakfast,6.5,20b,fam,35
lace,5,20b,fam,35
morsel,5.5,20b,fam,35
neutral,5.5,20b,fam,35
